pdb_id,dockq,lddt,tm_score
8tuz-assembly1,0.02,0.785,0.702
8tuz-assembly1,0.039,0.785,0.702
7xld-assembly1,0.07,0.639,0.662
8bf4-assembly1,0.061,0.0,0.304
8pyr-assembly1,0.007,0.042,0.272
8pyr-assembly1,0.02,0.042,0.272
8pih-assembly1,0.011,0.49,0.339
8fdo-assembly1,0.066,0.775,0.825
8fdd-assembly1,0.088,0.833,0.878
8fdd-assembly1,0.072,0.833,0.878
7x8p-assembly1,0.093,0.673,0.813
7x8p-assembly1,0.092,0.673,0.813
8h63-assembly1,0.047,0.749,0.72
8ux6-assembly1,0.281,0.877,0.846
8ux6-assembly1,0.175,0.877,0.846
8w90-assembly1,0.007,0.734,0.564
8e0e-assembly1,0.075,0.306,0.361
8hxq-assembly1,0.341,0.638,0.409
8ido-assembly1,0.04,0.789,0.559
8be1-assembly1,0.016,0.846,0.688
7txw-assembly1,0.021,0.86,0.828
7txw-assembly1,0.025,0.86,0.828
8ahn-assembly1,0.006,0.465,0.614
8ahn-assembly1,0.008,0.465,0.614
7yv1-assembly1,,,
7yv1-assembly1,,,
