pdb_id,dockq,lddt,tm_score
8tuz-assembly1,0.01,0.781,0.651
8tuz-assembly1,0.016,0.781,0.651
7xld-assembly1,0.091,0.546,0.652
8bf4-assembly1,0.031,0.233,0.481
8pyr-assembly1,0.018,0.11,0.285
8pyr-assembly1,0.012,0.11,0.285
8pih-assembly1,0.039,0.02,0.367
8fdo-assembly1,0.156,0.813,0.872
8fdd-assembly1,0.113,0.856,0.962
8fdd-assembly1,0.104,0.856,0.962
7x8p-assembly1,0.052,0.706,0.791
7x8p-assembly1,0.064,0.706,0.791
8h63-assembly1,0.03,0.754,0.715
8ux6-assembly1,0.123,0.889,0.954
8ux6-assembly1,0.171,0.889,0.954
8w90-assembly1,0.007,0.734,0.559
8e0e-assembly1,0.071,0.292,0.367
8hxq-assembly1,0.284,0.63,0.401
8ido-assembly1,0.049,0.788,0.57
8be1-assembly1,0.015,0.846,0.702
7txw-assembly1,0.03,0.854,0.805
7txw-assembly1,0.029,0.854,0.805
8ahn-assembly1,0.005,0.476,0.636
8ahn-assembly1,0.013,0.476,0.636
7yv1-assembly1,,,
7yv1-assembly1,,,
