pdb_id,dockq,lddt,tm_score
8tuz-assembly1,0.02,0.795,0.698
8tuz-assembly1,0.03,0.795,0.698
7xld-assembly1,0.057,0.574,0.635
8bf4-assembly1,0.029,0.227,0.53
8pyr-assembly1,0.015,0.073,0.298
8pyr-assembly1,0.031,0.073,0.298
8pih-assembly1,0.15,0.452,0.413
8fdo-assembly1,0.012,0.789,0.763
8fdd-assembly1,0.101,0.846,0.957
8fdd-assembly1,0.12,0.846,0.957
7x8p-assembly1,0.071,0.681,0.777
7x8p-assembly1,0.047,0.681,0.777
8h63-assembly1,0.028,0.722,0.698
8ux6-assembly1,0.082,0.883,0.962
8ux6-assembly1,0.097,0.883,0.962
8w90-assembly1,0.007,0.742,0.564
8e0e-assembly1,0.054,0.192,0.383
8hxq-assembly1,0.38,0.642,0.408
8ido-assembly1,0.024,0.798,0.564
8be1-assembly1,0.016,0.846,0.701
7txw-assembly1,0.01,0.857,0.8
7txw-assembly1,0.012,0.857,0.8
8ahn-assembly1,0.008,0.505,0.638
8ahn-assembly1,0.006,0.505,0.638
7yv1-assembly1,,,
7yv1-assembly1,,,
