pdb_id,dockq,lddt,tm_score
8tuz-assembly1,0.011,0.788,0.666
8tuz-assembly1,0.013,0.788,0.666
7xld-assembly1,0.122,0.64,0.662
8bf4-assembly1,0.006,0.294,0.486
8pyr-assembly1,0.007,0.312,0.256
8pyr-assembly1,0.018,0.312,0.256
8pih-assembly1,0.035,0.585,0.411
8fdo-assembly1,0.019,0.783,0.756
8fdd-assembly1,0.11,0.852,0.934
8fdd-assembly1,0.174,0.852,0.934
7x8p-assembly1,0.073,0.729,0.77
7x8p-assembly1,0.074,0.729,0.77
8h63-assembly1,0.025,0.751,0.706
8ux6-assembly1,0.319,0.89,0.97
8ux6-assembly1,0.152,0.89,0.97
8w90-assembly1,0.007,0.728,0.563
8e0e-assembly1,0.023,0.37,0.401
8hxq-assembly1,0.283,0.632,0.408
8ido-assembly1,0.03,0.795,0.563
8be1-assembly1,0.017,0.846,0.7
7txw-assembly1,0.03,0.864,0.825
7txw-assembly1,0.031,0.864,0.825
8ahn-assembly1,0.007,0.553,0.605
8ahn-assembly1,0.009,0.553,0.605
7yv1-assembly1,,,
7yv1-assembly1,,,
